DRIVER_ID,DRIVER_MODAL,DRIVER_TYPE
133,motoboy,logistic operator
138,motoboy,freelance
140,motoboy,freelance
143,biker,freelance
148,motoboy,freelance
165,motoboy,freelance
172,motoboy,freelance
174,biker,freelance
187,biker,freelance
196,biker,freelance
202,biker,freelance
210,motoboy,freelance
217,motoboy,logistic operator
223,motoboy,freelance
224,biker,freelance
225,motoboy,logistic operator
228,motoboy,freelance
231,motoboy,logistic operator
243,motoboy,logistic operator
245,motoboy,freelance
298,motoboy,logistic operator
301,motoboy,logistic operator
303,motoboy,logistic operator
313,motoboy,logistic operator
319,motoboy,freelance
340,motoboy,freelance
343,biker,freelance
344,biker,freelance
345,motoboy,freelance
350,motoboy,freelance
356,motoboy,logistic operator
357,motoboy,logistic operator
358,motoboy,logistic operator
366,motoboy,freelance
367,motoboy,logistic operator
369,biker,freelance
372,motoboy,freelance
378,motoboy,freelance
379,motoboy,logistic operator
380,motoboy,logistic operator
387,motoboy,logistic operator
388,motoboy,logistic operator
390,motoboy,freelance
407,biker,freelance
409,motoboy,freelance
410,biker,freelance
413,biker,freelance
414,biker,freelance
415,biker,freelance
416,biker,freelance
425,biker,freelance
426,biker,freelance
430,biker,freelance
446,motoboy,freelance
448,motoboy,freelance
454,motoboy,freelance
456,motoboy,freelance
457,motoboy,freelance
458,motoboy,freelance
459,motoboy,freelance
463,motoboy,logistic operator
464,motoboy,logistic operator
466,motoboy,freelance
474,motoboy,freelance
475,motoboy,logistic operator
480,motoboy,logistic operator
484,motoboy,freelance
488,motoboy,freelance
491,motoboy,logistic operator
494,motoboy,logistic operator
497,motoboy,logistic operator
508,motoboy,freelance
509,motoboy,freelance
510,motoboy,freelance
511,motoboy,logistic operator
512,motoboy,freelance
526,motoboy,logistic operator
529,biker,freelance
530,biker,freelance
532,biker,freelance
539,motoboy,freelance
545,motoboy,logistic operator
546,motoboy,logistic operator
564,motoboy,logistic operator
574,motoboy,logistic operator
581,motoboy,freelance
583,biker,freelance
596,motoboy,freelance
598,motoboy,logistic operator
599,motoboy,freelance
612,motoboy,logistic operator
617,motoboy,logistic operator
619,motoboy,freelance
620,motoboy,logistic operator
622,motoboy,logistic operator
625,motoboy,logistic operator
626,motoboy,logistic operator
627,motoboy,logistic operator
632,biker,freelance
633,biker,freelance
639,motoboy,logistic operator
642,motoboy,freelance
650,motoboy,logistic operator
651,motoboy,logistic operator
653,motoboy,logistic operator
655,motoboy,logistic operator
660,motoboy,logistic operator
664,motoboy,logistic operator
688,motoboy,logistic operator
690,motoboy,logistic operator
711,motoboy,logistic operator
713,motoboy,freelance
726,biker,freelance
730,motoboy,logistic operator
731,motoboy,freelance
738,motoboy,freelance
746,motoboy,logistic operator
749,motoboy,logistic operator
754,motoboy,logistic operator
758,motoboy,freelance
759,motoboy,freelance
760,motoboy,freelance
771,motoboy,freelance
775,motoboy,freelance
787,motoboy,logistic operator
788,motoboy,freelance
789,motoboy,freelance
794,biker,freelance
800,motoboy,freelance
801,motoboy,freelance
809,motoboy,freelance
810,motoboy,freelance
812,motoboy,logistic operator
831,motoboy,freelance
839,motoboy,freelance
858,motoboy,freelance
862,motoboy,logistic operator
874,motoboy,freelance
886,motoboy,freelance
888,motoboy,freelance
891,motoboy,freelance
896,motoboy,logistic operator
900,motoboy,freelance
901,motoboy,freelance
902,motoboy,logistic operator
906,motoboy,freelance
908,motoboy,freelance
913,biker,freelance
921,biker,freelance
922,biker,freelance
928,biker,freelance
938,biker,freelance
939,motoboy,freelance
941,motoboy,freelance
945,motoboy,freelance
975,motoboy,freelance
976,biker,freelance
982,motoboy,freelance
986,biker,freelance
988,motoboy,freelance
995,biker,freelance
998,motoboy,freelance
1004,motoboy,freelance
1005,motoboy,freelance
1015,motoboy,freelance
1032,motoboy,logistic operator
1038,biker,freelance
1039,biker,freelance
1040,motoboy,freelance
1064,motoboy,freelance
1068,motoboy,freelance
1073,motoboy,freelance
1074,motoboy,freelance
1094,motoboy,logistic operator
1095,motoboy,freelance
1105,biker,freelance
1111,motoboy,freelance
1113,motoboy,freelance
1117,motoboy,freelance
1126,biker,freelance
1165,motoboy,freelance
1173,motoboy,logistic operator
1181,biker,freelance
1184,biker,freelance
1202,biker,freelance
1203,biker,freelance
1212,motoboy,freelance
1223,motoboy,freelance
1229,motoboy,freelance
1251,motoboy,freelance
1253,motoboy,freelance
1281,biker,freelance
1286,motoboy,freelance
1301,biker,freelance
1374,motoboy,freelance
1377,motoboy,freelance
1395,motoboy,freelance
1402,biker,freelance
1405,biker,freelance
1419,motoboy,freelance
1433,biker,freelance
1463,motoboy,freelance
1482,motoboy,freelance
1488,motoboy,freelance
1511,motoboy,freelance
1547,motoboy,logistic operator
1599,biker,freelance
1621,motoboy,freelance
1626,motoboy,freelance
1657,motoboy,freelance
1706,biker,freelance
1737,biker,freelance
1759,biker,freelance
1786,biker,freelance
1787,biker,freelance
1800,motoboy,freelance
1808,motoboy,freelance
1822,biker,freelance
1829,motoboy,freelance
1837,motoboy,logistic operator
1855,motoboy,freelance
1874,biker,freelance
1912,motoboy,freelance
1916,motoboy,logistic operator
1943,biker,freelance
1948,biker,freelance
1959,biker,freelance
1972,motoboy,freelance
1983,motoboy,freelance
2000,motoboy,freelance
2001,motoboy,logistic operator
2002,motoboy,freelance
2033,motoboy,freelance
2061,biker,freelance
2089,motoboy,logistic operator
2091,motoboy,freelance
2119,motoboy,freelance
2147,motoboy,freelance
2156,motoboy,freelance
2159,motoboy,freelance
2165,motoboy,freelance
2174,motoboy,freelance
2178,biker,freelance
2186,biker,freelance
2228,motoboy,logistic operator
2240,motoboy,freelance
2244,motoboy,logistic operator
2260,motoboy,freelance
2267,motoboy,freelance
2275,motoboy,freelance
2276,motoboy,freelance
2296,motoboy,freelance
2304,motoboy,freelance
2321,motoboy,freelance
2324,motoboy,freelance
2331,motoboy,freelance
2337,motoboy,freelance
2354,motoboy,logistic operator
2355,motoboy,freelance
2364,motoboy,freelance
2395,biker,freelance
2426,motoboy,freelance
2447,biker,freelance
2465,motoboy,freelance
2468,biker,freelance
2472,motoboy,freelance
2473,biker,freelance
2476,biker,freelance
2486,motoboy,freelance
2489,motoboy,freelance
2490,motoboy,freelance
2511,motoboy,logistic operator
2519,biker,freelance
2550,biker,freelance
2552,motoboy,freelance
2561,motoboy,freelance
2631,biker,freelance
2638,motoboy,freelance
2649,motoboy,freelance
2672,motoboy,freelance
2674,biker,freelance
2688,motoboy,freelance
2703,motoboy,freelance
2722,biker,freelance
2726,motoboy,logistic operator
2743,motoboy,freelance
2745,biker,freelance
2750,motoboy,freelance
2751,biker,freelance
2758,motoboy,freelance
2761,biker,freelance
2762,motoboy,freelance
2790,biker,freelance
2820,biker,freelance
2836,motoboy,freelance
2837,motoboy,freelance
2854,biker,freelance
2872,biker,freelance
2876,biker,freelance
2905,biker,freelance
2913,motoboy,freelance
2917,motoboy,logistic operator
2926,motoboy,logistic operator
2930,motoboy,freelance
2932,motoboy,freelance
2941,biker,freelance
2945,biker,freelance
2969,biker,freelance
2994,motoboy,freelance
3022,biker,freelance
3023,biker,freelance
3024,biker,freelance
3026,biker,freelance
3039,motoboy,freelance
3068,motoboy,freelance
3076,motoboy,logistic operator
3088,motoboy,freelance
3092,biker,freelance
3099,motoboy,freelance
3104,motoboy,freelance
3140,motoboy,freelance
3153,biker,freelance
3230,motoboy,freelance
3236,biker,freelance
3251,biker,freelance
3257,motoboy,freelance
3287,biker,freelance
3306,biker,freelance
3321,biker,freelance
3331,motoboy,freelance
3354,biker,freelance
3358,motoboy,freelance
3363,biker,freelance
3364,biker,freelance
3405,motoboy,freelance
3406,biker,freelance
3421,motoboy,freelance
3425,motoboy,freelance
3441,biker,freelance
3449,motoboy,freelance
3478,biker,freelance
3518,motoboy,logistic operator
3538,biker,freelance
3545,biker,freelance
3550,motoboy,freelance
3559,motoboy,freelance
3560,motoboy,logistic operator
3572,biker,freelance
3577,motoboy,logistic operator
3582,motoboy,freelance
3603,biker,freelance
3606,motoboy,logistic operator
3621,motoboy,freelance
3623,motoboy,freelance
3625,motoboy,freelance
3638,motoboy,freelance
3642,motoboy,freelance
3653,motoboy,freelance
3659,motoboy,logistic operator
3673,motoboy,freelance
3682,motoboy,freelance
3695,motoboy,freelance
3715,biker,freelance
3724,motoboy,freelance
3740,motoboy,freelance
3745,motoboy,logistic operator
3753,biker,freelance
3754,motoboy,freelance
3758,motoboy,freelance
3780,biker,freelance
3834,biker,freelance
3851,motoboy,freelance
3861,motoboy,freelance
3863,motoboy,freelance
3864,biker,freelance
3872,biker,freelance
3873,motoboy,logistic operator
3878,motoboy,logistic operator
3883,motoboy,freelance
3884,motoboy,freelance
3885,motoboy,freelance
3888,biker,freelance
3906,motoboy,freelance
4029,biker,freelance
4059,motoboy,freelance
4061,motoboy,freelance
4070,motoboy,freelance
4071,biker,freelance
4075,biker,freelance
4076,biker,freelance
4097,biker,freelance
4104,biker,freelance
4107,biker,freelance
4149,motoboy,freelance
4172,motoboy,freelance
4179,motoboy,freelance
4190,motoboy,freelance
4201,motoboy,freelance
4244,motoboy,freelance
4256,motoboy,freelance
4257,motoboy,freelance
4285,motoboy,freelance
4302,motoboy,freelance
4310,motoboy,freelance
4313,motoboy,freelance
4315,motoboy,logistic operator
4331,motoboy,logistic operator
4347,motoboy,freelance
4350,motoboy,freelance
4381,motoboy,freelance
4387,motoboy,freelance
4400,motoboy,freelance
4429,biker,freelance
4431,motoboy,freelance
4448,motoboy,freelance
4468,motoboy,freelance
4481,biker,freelance
4482,biker,freelance
4488,biker,freelance
4507,biker,freelance
4517,motoboy,freelance
4527,motoboy,freelance
4528,biker,freelance
4532,motoboy,freelance
4536,biker,freelance
4567,biker,freelance
4586,motoboy,freelance
4592,motoboy,freelance
4613,motoboy,freelance
4651,motoboy,freelance
4678,biker,freelance
4692,motoboy,freelance
4694,motoboy,freelance
4702,motoboy,freelance
4723,motoboy,freelance
4734,motoboy,freelance
4737,motoboy,logistic operator
4756,biker,freelance
4771,motoboy,freelance
4774,motoboy,freelance
4781,biker,freelance
4790,motoboy,freelance
4796,motoboy,freelance
4799,motoboy,freelance
4806,motoboy,freelance
4815,biker,freelance
4816,motoboy,freelance
4823,motoboy,freelance
4824,motoboy,freelance
4840,motoboy,freelance
4867,biker,freelance
4896,biker,freelance
4898,biker,freelance
4906,motoboy,freelance
4929,biker,freelance
4937,motoboy,logistic operator
4939,motoboy,freelance
4941,motoboy,freelance
4948,motoboy,freelance
4950,motoboy,freelance
4951,motoboy,logistic operator
4977,biker,freelance
4979,biker,freelance
4988,biker,freelance
5008,biker,freelance
5018,motoboy,freelance
5027,biker,freelance
5028,motoboy,freelance
5030,motoboy,freelance
5037,motoboy,freelance
5042,biker,freelance
5046,motoboy,freelance
5052,motoboy,freelance
5058,motoboy,freelance
5096,motoboy,logistic operator
5098,motoboy,freelance
5101,biker,freelance
5107,motoboy,logistic operator
5110,motoboy,freelance
5126,motoboy,freelance
5128,motoboy,freelance
5141,motoboy,freelance
5149,motoboy,freelance
5163,motoboy,freelance
5165,motoboy,freelance
5171,motoboy,freelance
5212,motoboy,logistic operator
5226,biker,freelance
5232,motoboy,freelance
5235,motoboy,freelance
5236,biker,freelance
5250,biker,freelance
5261,motoboy,freelance
5267,motoboy,logistic operator
5269,motoboy,freelance
5271,motoboy,freelance
5274,motoboy,freelance
5276,motoboy,freelance
5277,motoboy,logistic operator
5280,motoboy,logistic operator
5300,biker,freelance
5303,biker,freelance
5308,biker,freelance
5315,motoboy,freelance
5339,motoboy,freelance
5349,motoboy,freelance
5353,biker,freelance
5355,motoboy,freelance
5363,motoboy,freelance
5364,biker,freelance
5367,biker,freelance
5368,biker,freelance
5380,biker,freelance
5394,motoboy,freelance
5402,motoboy,logistic operator
5403,motoboy,freelance
5410,biker,freelance
5417,motoboy,freelance
5419,biker,freelance
5435,motoboy,freelance
5437,motoboy,freelance
5445,biker,freelance
5447,motoboy,freelance
5448,motoboy,freelance
5455,motoboy,freelance
5456,motoboy,freelance
5468,motoboy,freelance
5494,biker,freelance
5501,biker,freelance
5521,motoboy,freelance
5524,motoboy,freelance
5525,motoboy,freelance
5527,motoboy,freelance
5528,motoboy,freelance
5538,biker,freelance
5539,biker,freelance
5540,biker,freelance
5555,motoboy,freelance
5567,motoboy,freelance
5574,motoboy,logistic operator
5581,motoboy,freelance
5606,motoboy,logistic operator
5607,motoboy,logistic operator
5618,motoboy,logistic operator
5623,motoboy,freelance
5628,motoboy,freelance
5630,biker,freelance
5643,motoboy,freelance
5689,motoboy,freelance
5714,biker,freelance
5715,biker,freelance
5716,motoboy,freelance
5727,motoboy,freelance
5738,biker,freelance
5748,biker,freelance
5776,biker,freelance
5777,biker,freelance
5784,biker,freelance
5785,biker,freelance
5792,motoboy,freelance
5795,motoboy,freelance
5796,biker,freelance
5798,biker,freelance
5800,biker,freelance
5801,motoboy,freelance
5810,motoboy,freelance
5813,biker,freelance
5816,motoboy,freelance
5841,biker,freelance
5846,biker,freelance
5854,motoboy,freelance
5866,motoboy,logistic operator
5868,biker,freelance
5869,biker,freelance
5884,biker,freelance
5890,biker,freelance
5907,motoboy,freelance
5913,biker,freelance
5914,motoboy,freelance
5918,biker,freelance
5919,biker,freelance
5941,biker,freelance
5942,biker,freelance
5946,motoboy,freelance
5947,motoboy,logistic operator
5953,motoboy,freelance
5956,biker,freelance
5965,motoboy,freelance
5972,motoboy,freelance
5978,biker,freelance
5985,biker,freelance
5998,biker,freelance
6002,motoboy,freelance
6013,biker,freelance
6016,biker,freelance
6017,biker,freelance
6023,motoboy,freelance
6026,motoboy,logistic operator
6038,biker,freelance
6045,motoboy,freelance
6066,motoboy,freelance
6080,biker,freelance
6081,motoboy,logistic operator
6089,motoboy,logistic operator
6106,motoboy,logistic operator
6125,motoboy,logistic operator
6128,motoboy,freelance
6131,motoboy,freelance
6136,motoboy,freelance
6140,motoboy,freelance
6144,motoboy,logistic operator
6153,motoboy,freelance
6161,motoboy,freelance
6165,biker,freelance
6170,motoboy,freelance
6172,motoboy,logistic operator
6196,biker,freelance
6201,motoboy,logistic operator
6210,motoboy,freelance
6228,motoboy,freelance
6251,motoboy,freelance
6252,motoboy,freelance
6258,motoboy,freelance
6310,biker,freelance
6312,motoboy,freelance
6326,biker,freelance
6327,motoboy,freelance
6350,biker,freelance
6361,motoboy,logistic operator
6379,motoboy,freelance
6394,biker,freelance
6397,motoboy,freelance
6436,biker,freelance
6514,biker,freelance
6516,motoboy,freelance
6536,biker,freelance
6558,motoboy,freelance
6559,biker,freelance
6562,motoboy,freelance
6571,biker,freelance
6573,biker,freelance
6616,motoboy,freelance
6624,biker,freelance
6632,motoboy,freelance
6638,biker,freelance
6646,motoboy,freelance
6656,motoboy,freelance
6657,motoboy,freelance
6662,motoboy,logistic operator
6667,biker,freelance
6675,biker,freelance
6683,biker,freelance
6687,biker,freelance
6707,motoboy,freelance
6714,biker,freelance
6718,biker,freelance
6723,motoboy,freelance
6726,biker,freelance
6735,biker,freelance
6742,biker,freelance
6748,biker,freelance
6755,motoboy,freelance
6774,motoboy,freelance
6781,motoboy,freelance
6789,biker,freelance
6790,biker,freelance
6791,motoboy,freelance
6793,motoboy,freelance
6805,motoboy,freelance
6837,motoboy,freelance
6857,biker,freelance
6863,motoboy,freelance
6864,motoboy,freelance
6878,biker,freelance
6880,biker,freelance
6881,biker,freelance
6893,biker,freelance
6904,motoboy,logistic operator
6925,motoboy,freelance
6934,biker,freelance
6949,biker,freelance
6952,motoboy,freelance
6974,motoboy,freelance
6976,motoboy,freelance
6979,motoboy,freelance
6987,biker,freelance
7033,motoboy,freelance
7045,biker,freelance
7060,motoboy,freelance
7085,biker,freelance
7090,motoboy,freelance
7096,motoboy,logistic operator
7108,biker,freelance
7111,biker,freelance
7139,biker,freelance
7170,biker,freelance
7226,motoboy,logistic operator
7235,motoboy,logistic operator
7239,motoboy,freelance
7247,motoboy,freelance
7249,biker,freelance
7258,biker,freelance
7263,motoboy,freelance
7271,biker,freelance
7280,biker,freelance
7281,biker,freelance
7284,biker,freelance
7297,motoboy,freelance
7313,motoboy,freelance
7319,biker,freelance
7322,biker,freelance
7326,biker,freelance
7335,biker,freelance
7336,motoboy,freelance
7339,motoboy,logistic operator
7349,motoboy,freelance
7362,motoboy,freelance
7364,motoboy,freelance
7381,motoboy,logistic operator
7385,motoboy,freelance
7388,motoboy,logistic operator
7396,motoboy,logistic operator
7397,biker,freelance
7399,motoboy,freelance
7419,biker,freelance
7431,motoboy,freelance
7432,motoboy,freelance
7451,motoboy,freelance
7452,motoboy,freelance
7456,motoboy,freelance
7467,motoboy,freelance
7468,motoboy,logistic operator
7472,biker,freelance
7479,biker,freelance
7480,motoboy,freelance
7492,biker,freelance
7511,motoboy,freelance
7517,motoboy,freelance
7524,biker,freelance
7528,motoboy,freelance
7542,motoboy,freelance
7549,motoboy,logistic operator
7552,motoboy,freelance
7562,motoboy,freelance
7563,motoboy,freelance
7606,motoboy,freelance
7615,motoboy,logistic operator
7638,biker,freelance
7640,biker,freelance
7641,motoboy,freelance
7650,motoboy,freelance
7654,motoboy,freelance
7655,motoboy,freelance
7661,biker,freelance
7673,motoboy,freelance
7686,motoboy,freelance
7702,motoboy,freelance
7705,biker,freelance
7716,motoboy,freelance
7727,biker,freelance
7736,motoboy,freelance
7739,motoboy,logistic operator
7741,motoboy,freelance
7754,motoboy,freelance
7761,motoboy,freelance
7763,motoboy,freelance
7765,motoboy,freelance
7767,motoboy,freelance
7773,biker,freelance
7774,biker,freelance
7780,motoboy,freelance
7783,motoboy,logistic operator
7789,motoboy,logistic operator
7790,motoboy,freelance
7798,motoboy,freelance
7799,motoboy,freelance
7835,motoboy,freelance
7844,motoboy,freelance
7847,biker,freelance
7850,motoboy,freelance
7857,biker,freelance
7868,biker,freelance
7884,motoboy,freelance
7886,biker,freelance
7896,motoboy,freelance
7903,motoboy,freelance
7907,motoboy,freelance
7930,motoboy,logistic operator
7932,biker,freelance
7937,motoboy,freelance
